inci refle
0.767944871	1.53416049
0.750491578	1.497622733
0.733038286	1.461279573
0.715584993	1.425224451
0.680678408	1.389546357
0.663225116	1.354328606
0.663225116	1.319647832
0.645771823	1.285573204
0.610865238	1.252165887
0.593411946	1.219478738
0.593411946	1.187556222
0.575958653	1.156434535
0.558505361	1.126141889
0.541052068	1.096698937
0.523598776	1.068119312
0.506145483	1.04041022
0.506145483	1.013573098
0.488692191	0.987604269
0.471238898	0.962495611
0.453785606	0.938235191
0.453785606	0.914807875
0.436332313	0.89219589
0.41887902	0.870379343
0.41887902	0.849336685
0.401425728	0.829045124
0.383972435	0.80948099
0.383972435	0.790620048
